●この表をご覧いただくにあたっての留意事項 ◇「申込児童数」欄については， 平成２８年９月１５日現在 の申込児童数 　を掲載しています。また，申込みでは第五希望まで希望できますが，この申込 　状況については， 第一希望のみを集計し掲載 しております。 ◇詳細については，各区こども家庭支援課（北須磨支所，北神保健福祉課） 　にお問い合わせください。 （児童の年齢については平成２８年４月１日の前日時点）,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
灘区,,,平成２８年９月１５日現在,,,,,,,,,,,,,,
分類,施設名,組織,利用定 員（２・３ 号）,入所の可能性,,,,,,申込児童数,,,,,,,
,,,,０ 歳 児,１ 歳 児,２ 歳 児,３ 歳 児,４ 歳 児,５ 歳 児,０ 歳 児,１ 歳 児,２ 歳 児,３ 歳 児,４ 歳 児,５ 歳 児,,合 　 計
幼保連携型認定こども園,幼保連携型認定こども園　はっとこども園,私立,90*,×,×,×,×,×,×,2,6,2,0,2,0,,12
,幼保連携型認定こども園　なかはらこども園,私立,140*,○,×,×,×,×,×,12,4,6,1,1,0,,24
,認定こども園　六甲道COCORO,私立,60,×,×,×,×,×,×,5,2,1,0,0,0,,8
,幼保連携型認定こども園　八幡幼稚園・八幡ピジョン保育園,私立,70*,×,×,×,×,×,×,7,5,2,3,0,1,,18
,認定こども園　高羽COCORO,私立,90,×,×,×,×,×,○,6,3,3,2,1,0,,15
,幼保連携型認定こども園　神戸さくら保育園,私立,70,×,×,×,×,×,×,4,1,0,0,0,0,,5
,幼保連携型認定こども園　微笑幼稚園,私立,10*,,,,○,×,○,,,,1,2,0,,3
,幼保連携型認定こども園　光愛児園　※分園含む　※１,私立,130*,×,×,×,×,×,×,8,4,5,2,0,0,,19
,幼保連携型認定こども園　青谷愛児園,私立,90*,×,×,×,×,×,×,5,2,4,5,0,2,,18
,幼保連携型認定こども園　おおいしこども園,私立,70*,×,×,×,×,○,○,2,0,5,1,0,0,,8
,幼保連携型認定こども園　オリンピア都こども園,私立,90*,×,×,×,×,×,×,7,5,2,3,0,0,,17
,幼保連携型　めばえの園認定こども園　※分園含む　※２,私立,102,×,×,×,×,×,×,14,6,10,2,1,0,,33
保育所,灘保育所,公立,110,×,×,×,×,○,○,3,0,1,0,0,0,,4
,西灘保育所,公立,120,×,×,×,×,×,○,7,2,10,1,0,0,,20
,石屋川保育所,公立,100,×,×,×,×,○,○,4,1,3,2,0,0,,10
,倉石保育所,公立,90,×,×,×,×,○,×,2,3,9,0,1,0,,15
,やはた桜保育所,公立,144,×,×,×,×,○,×,15,11,0,2,3,0,,31
,やはた桜保育所鶴甲分室,公立,30,,×,×,×,○,×,,1,0,0,0,0,,1
,誠佛保育園,私立,60,,×,×,×,○,×,,2,0,2,0,0,,4
,同朋保育園,私立,70,×,×,×,×,×,×,5,1,1,0,0,0,,7
,ゆりか保育園,私立,90,×,×,×,×,×,×,4,7,2,1,0,0,,14
,六甲ゆりかご保育園,私立,60,×,×,×,×,×,×,6,1,0,0,0,0,,7
,花音つばさ保育園,私立,80,×,×,×,×,○,×,9,2,9,0,0,0,,20
,琵琶COCORO保育園,私立,60,×,×,×,×,○,×,1,1,2,0,1,0,,5
家庭的保育事業,赤ちゃんホーム　なだのみ,私立,5,×,,,,,,1,,,,,,,1
,赤ちゃんホーム　つぼみ,私立,3,×,,,,,,0,,,,,,,0
小規模保育事業,たんぽぽ,私立,12,,×,×,,,,,0,0,,,,,0
,はらだ乳児園,私立,12,,×,×,,,,,0,0,,,,,0
,コアラ愛児園,私立,19,×,×,×,,,,0,0,0,,,,,0
,めばえすくすくルーム,私立,12,,×,×,,,,,0,0,,,,,0
,小規模保育園　六甲道,私立,19,×,○,○,,,,1,0,1,,,,,2
,保育ルーム　ちいさなCOCORO,私立,14,×,×,×,,,,0,0,0,,,,,0
,京進のほいくえんHOPPA灘園,私立,19,×,×,×,,,,0,0,0,,,,,0
,キッズパートナー王子公園,私立,19,×,×,×,,,,0,1,0,,,,,1
,ポピンズ小規模保育園HAT神戸,私立,19,×,×,×,,,,0,0,0,,,,,0
,（仮称）神戸六甲キッズバルーン,私立,14,×,×,×,,,,0,0,0,,,,,0
,（仮称）くじら保育園神戸六甲園,私立,19,×,×,×,,,,3,0,0,,,,,3
*は、別途、１号認定子どもの利用定員を設けています。 ※１　光愛児園SUN分園の対象児童は、０～２歳です。（３歳児以降は、本園で保育を行います。） ※２　幼保連携型　めばえの園認定こども園すみれ分園の対象児童は、０・１歳児の予定です。（２歳児以降は、本園で保育を行います。）,,,,,,,,,,,,,,,,,
