分類,施設名,組織,利用定員 （２・３号）,入所の可能性 ０歳児,入所の可能性 １歳児,入所の可能性 ２歳児,入所の可能性 ３歳児,入所の可能性 ４歳児,入所の可能性 ５歳児,申込児童数 ０歳児,申込児童数 １歳児,申込児童数 ２歳児,申込児童数 ３歳児,申込児童数 ４歳児,申込児童数 ５歳児,, 合計
幼保連携型認定こども園,幼保連携型認定こども園　のぞみ保育園,私立,170*,×,×,×,○,×,×,3,12,7,0,2,1,,25
幼保連携型認定こども園,幼保連携型認定こども園　若竹保育園,私立,120*,×,×,×,×,×,×,2,1,1,0,0,0,,4
幼保連携型認定こども園,幼保連携型認定こども園　名谷みどりこども園,私立,120*,×,×,×,×,×,×,2,2,6,0,0,0,,10
保育所,菅の台保育所,公立,133,○,×,×,○,×,×,0,0,0,0,0,0,,0
保育所,竜が台保育所,公立,139,×,×,×,×,×,○,0,5,4,0,2,0,,11
保育所,北須磨保育園,私立,110,×,×,×,×,×,×,1,0,2,0,4,4,,11
保育所,あじさい保育園,私立,60,×,×,×,×,×,×,2,7,3,1,0,0,,13
保育所,やまびこ保育園,私立,150,×,×,×,×,×,×,4,5,3,0,0,0,,12
保育所,くすの木保育園,私立,180,×,×,×,×,×,×,3,3,3,0,3,0,,12
保育所,北須磨第２保育園,私立,80,○,×,×,×,×,×,1,6,3,0,3,0,,13
家庭的保育事業,堀切　赤ちゃんホーム,私立,5,○,,,,,,0,,,,,,,0
