context,name,address,lat,lng
kokoron,県立歴史博物館,〒670-0012　兵庫県姫路市本町68番地,,
kokoron,県立フラワーセンター,〒679-0187 兵庫県加西市豊倉町飯森1282-1,34.9077572,134.8593676
kokoron,県立播磨中央公園四季の庭,〒679-0212 兵庫県加東市下滝野 1275-8,,
kokoron,湊川神社宝物殿,〒650-0015　兵庫県神戸市中央区多聞通3-1-1,,
kokoron,長田神社宝物庫,〒653-0812　神戸市長田区長田町３丁目１－１,,
kokoron,須磨寺宝物館,〒654-0071 兵庫県神戸市須磨区須磨寺町4丁目6-8,,
kokoron,孫文記念館（移情閣）,〒655-0047 兵庫県神戸市垂水区東舞子町2051番地,,
kokoron,最明寺郷土館,神戸市西区神出町東828,,
kokoron,神戸ロボット工房（ロボット展示室）,〒653-0042 神戸市長田区二葉町7丁目1番18号 地域人材支援センター１F,,
kokoron,尼崎市総合文化センター美術ホール,〒660-0881 兵庫県尼崎市昭和通2丁目7-16,,
kokoron,白鷹禄水苑（暮らしの展示室、白鷹集古館）,〒662-0926 西宮市鞍掛町5-1,,
kokoron,宝塚文化創造館「すみれ♪ミュージアム」,〒665-0844　宝塚市武庫川町6-12,,
kokoron,生活協同組合コープこうべ協同学苑史料館,〒673-0592　兵庫県三木市志染町青山7丁目1-4,,
kokoron,姫路市立美術館（常設展のみ対象）,〒670-0012 姫路市本町68-25,,
kokoron,姫路文学館（常設展のみ対象）,姫路市山野井町84,,
kokoron,名古山霊園仏舎利塔,〒670-0051　兵庫県姫路市名古山町14番1号,,
kokoron,姫路市宿泊型児童館「星の子館」（宿泊対象外）,〒671-2222 兵庫県姫路市青山1470-24,,
kokoron,赤穂市立有年考古館,〒678-1181 赤穂市有年楢原1164番地1,,
kokoron,大石神社義士資料館,〒678-0235　兵庫県赤穂市上仮屋131-7,,
kokoron,花岳寺宝物館・義士木像堂,〒678-0239 兵庫県赤穂市加里屋1992番地,,
kokoron,山崎歴史郷土館,〒671-2576 兵庫県宍粟市山崎町鹿沢81 市立図書館2階,,
kokoron,豊岡市立竹野北前館,兵庫県豊岡市竹野町竹野50-12,,
kokoron,豊岡市立住吉屋歴史資料館,豊岡市竹野町竹野４２２,,
kokoron,豊岡市立加藤弘之生家,豊岡市出石町下谷１０番地の１,,
kokoron,養父市立木彫展示館,兵庫県養父市大屋町大杉826,,
kokoron,あさご芸術の森美術館―淀井敏夫記念館―,〒679－3423　兵庫県朝来市多々良木739－3,,
kokoron,朝来市埋蔵文化財センター「古代あさご館」,〒669-5153　朝来市山東町大月91番地2,,
kokoron,朝来市情報館天空の城,兵庫県朝来市和田山町竹田363番地（旧木村酒造場EN内）,,
kokoron,朝来市旧生野鉱山職員宿舎（志村喬記念館）,〒679-3301　兵庫県朝来市生野町口銀谷６９７番地１,,
kokoron,香美町立小代古代体験の森,香美町小代区広井８０４,,
kokoron,丹波市立青垣歴史民俗資料館,〒669-3811 兵庫県丹波市青垣町佐治114,,
kokoron,丹波市立春日歴史民俗資料館,兵庫県丹波市春日町黒井496-2,,
kokoron,丹波市立市島民俗資料館,〒669-4322 兵庫県丹波市市島町上田1134,,
kokoron,県立考古博物館,〒675-0142 兵庫県加古郡播磨町大中1-1-1,,
kokoron,豪農の館　コヤノ美術館（西脇館）,兵庫県西脇市市原町139番地,,
kokoron,石の博物館　松内ミネラルコレクション,多可郡多可町中区中村町260,,
kokoron,五百羅漢（羅漢寺）,兵庫県加西市北条町北条1293,,
