area,name,url,交通機関,休館日,所在地,開館時間,電話,駐車場
神戸市東灘区,神戸市立小磯記念美術館,http://www.city.kobe.lg.jp/culture/culture/institution/koisogallery/index.html,六甲ライナー「アイランド北口」駅から徒歩4分(JR「住吉」駅・阪神「魚崎」駅から六甲ライナーに乗り換え),,神戸市東灘区向洋町中5丁目7,,078-857-5880,
神戸市東灘区,神戸ファッション美術館,http://www.fashionmuseum.or.jp/,六甲ライナー「アイランドセンター」駅から南東へすぐ(JR「住吉」駅・阪神「魚崎」駅から六甲ライナーに乗り換え),,神戸市東灘区向洋町中2丁目9-1,,078-858-0050,
神戸市東灘区,神戸ゆかりの美術館,http://www.city.kobe.lg.jp/culture/culture/institution/yukarimuseum/index.html,六甲ライナー「アイランドセンター」駅から南東へすぐ(JR「住吉」駅・阪神「魚崎」駅から六甲ライナーに乗り換え),,神戸市東灘区向洋町中2丁目9-1(神戸ファッション美術館1階),,078-858-1520,
神戸市灘区,灘浜サイエンススクエア,http://www.nadahama.jp/,阪神「大石」駅から南へ徒歩12分、JR「六甲道」駅から南西へ徒歩25分,,神戸市灘区灘浜東町2番地,,078-882-8136,
神戸市灘区,六甲山牧場,http://www.rokkosan.net/,摩耶ロープウェー「星の駅」及び六甲ケーブル「山上駅」よりバス周年運行,,神戸市灘区六甲山町中一里山1-1,,078-891-0280,
神戸市灘区,王子動物園,http://www.city.kobe.lg.jp/culture/leisure/ojizoo/index_old.html,JR「灘」駅から北へ徒歩約5分、阪急「王子公園」駅から西へ徒歩約3分、阪神「岩屋」駅から北へ徒歩約10分、市バス90・92系統「王子動物園前」下車すぐ,,神戸市灘区王子町3丁目1,,078-861-5624,
神戸市灘区,神戸文学館,http://www.kobe-np.co.jp/info/bungakukan/index.html,JR「灘」駅から北西へ徒歩約8分、阪急「王子公園」駅から西へ徒歩約7分、市バス90・92系統「王子動物園前」下車、西へ徒歩約3分,,神戸市灘区王子町3丁目1-2,,078-882-2028,
神戸市中央区,賀川記念館,http://www.core100.net/,JR三ノ宮駅、阪急・阪神・地下鉄三宮駅下車徒歩15分、又は阪神バス 新生田川バス停下車 徒歩1分,,神戸市中央区吾妻通5-2-20,,078-221-3627,
神戸市中央区,神戸海洋博物館・カワサキワールド,http://kobe-meriken.or.jp/maritime-museum/,JR・阪神「元町」駅から南へ徒歩15分、市バス90系統「メリケンパーク」「中突堤」下車すぐ、神戸市営地下鉄海岸線「みなと元町」駅から南へ徒歩7分,,神戸市中央区波止場町2-2 メリケンパーク内,,078-327-8983,
神戸市中央区,神戸北野美術館(異人館ホワイトハウス),http://www.kitano-museum.com/,JR・阪急・阪神「三宮」駅から北へ徒歩15分、シティーループ「北野異人館」前,不定休、要問合せ,神戸市中央区北野町2丁目9番6号,9時30分~17時30分(入館は17時まで),078-251-0581,
